ResumeIndex,Category,JobRank,JobID,JobTitle,MatchScore,MissingSkills,ResumeReadability
0,Data Science,1,349,Java Developer,0.40651407428644604,excel,-482.4755737704917
0,Data Science,2,2029,Machine Learning,0.3580588776793449,"aws, excel",-482.4755737704917
0,Data Science,3,923,Machine Learning,0.357446514133554,excel,-482.4755737704917
1,Data Science,1,528,Machine Learning,0.253046640994125,"sql, java, tensorflow, javascript",-92.88923728813558
1,Data Science,2,13,Machine Learning,0.24791011619146705,java,-92.88923728813558
1,Data Science,3,441,Machine Learning,0.24347074275859795,java,-92.88923728813558
2,Data Science,1,2063,Machine Learning,0.2181905185434119,,-169.03499999999997
2,Data Science,2,984,Django Developer,0.20157291888804557,javascript,-169.03499999999997
2,Data Science,3,902,Django Developer,0.20143790160801245,javascript,-169.03499999999997
3,Data Science,1,1693,JavaScript Developer,0.40881184518302405,"excel, java, javascript",-716.368881118881
3,Data Science,2,1009,JavaScript Developer,0.37673155374214684,"java, javascript",-716.368881118881
3,Data Science,3,1478,JavaScript Developer,0.3594408621055404,"javascript, aws, java, react, excel",-716.368881118881
4,Data Science,1,716,Database Administrator,0.20406544001296756,excel,1.7122448979592093
4,Data Science,2,243,Node js developer,0.198517859981177,,1.7122448979592093
4,Data Science,3,2188,Software Engineer,0.19360374281148932,sql,1.7122448979592093
5,Data Science,1,1761,Machine Learning,0.25589085201005857,"tensorflow, keras",-37.19653846153844
5,Data Science,2,661,Machine Learning,0.2506943707692756,java,-37.19653846153844
5,Data Science,3,403,Machine Learning,0.240640493216129,sql,-37.19653846153844
6,Data Science,1,2267,Machine Learning,0.514871436843026,java,-165.61421052631576
6,Data Science,2,1891,Machine Learning,0.506341805688066,"sql, java, tensorflow, javascript",-165.61421052631576
6,Data Science,3,403,Machine Learning,0.5041525555727066,sql,-165.61421052631576
7,Data Science,1,1761,Machine Learning,0.6156758237025524,excel,-786.3164150943395
7,Data Science,2,1194,Machine Learning,0.6001069494258248,,-786.3164150943395
7,Data Science,3,91,Machine Learning,0.5489391719221426,"aws, excel",-786.3164150943395
8,Data Science,1,1761,Machine Learning,0.5214914926553467,"excel, tensorflow, keras",-180.16190476190474
8,Data Science,2,1194,Machine Learning,0.48354066240203913,"tensorflow, keras",-180.16190476190474
8,Data Science,3,1020,Machine Learning,0.455734670351826,"excel, java, tensorflow, keras",-180.16190476190474
9,Data Science,1,2267,Machine Learning,0.4974724156137921,"java, excel",-422.96650684931495
9,Data Science,2,521,Machine Learning,0.48592881042400743,"sql, java, javascript",-422.96650684931495
9,Data Science,3,1891,Machine Learning,0.4831967623630151,"sql, java, tensorflow, javascript",-422.96650684931495
10,Data Science,1,349,Java Developer,0.40651407428644604,excel,-482.4755737704917
10,Data Science,2,2029,Machine Learning,0.3580588776793449,"aws, excel",-482.4755737704917
10,Data Science,3,923,Machine Learning,0.357446514133554,excel,-482.4755737704917
11,Data Science,1,528,Machine Learning,0.253046640994125,"sql, java, tensorflow, javascript",-92.88923728813558
11,Data Science,2,13,Machine Learning,0.24791011619146705,java,-92.88923728813558
11,Data Science,3,441,Machine Learning,0.24347074275859795,java,-92.88923728813558
12,Data Science,1,2063,Machine Learning,0.2181905185434119,,-169.03499999999997
12,Data Science,2,984,Django Developer,0.20157291888804557,javascript,-169.03499999999997
12,Data Science,3,902,Django Developer,0.20143790160801245,javascript,-169.03499999999997
13,Data Science,1,1693,JavaScript Developer,0.40881184518302405,"excel, java, javascript",-716.368881118881
13,Data Science,2,1009,JavaScript Developer,0.37673155374214684,"java, javascript",-716.368881118881
13,Data Science,3,1478,JavaScript Developer,0.3594408621055404,"javascript, aws, java, react, excel",-716.368881118881
14,Data Science,1,716,Database Administrator,0.20406544001296756,excel,1.7122448979592093
14,Data Science,2,243,Node js developer,0.198517859981177,,1.7122448979592093
14,Data Science,3,2188,Software Engineer,0.19360374281148932,sql,1.7122448979592093
15,Data Science,1,1761,Machine Learning,0.25589085201005857,"tensorflow, keras",-37.19653846153844
15,Data Science,2,661,Machine Learning,0.2506943707692756,java,-37.19653846153844
15,Data Science,3,403,Machine Learning,0.240640493216129,sql,-37.19653846153844
16,Data Science,1,2267,Machine Learning,0.514871436843026,java,-165.61421052631576
16,Data Science,2,1891,Machine Learning,0.506341805688066,"sql, java, tensorflow, javascript",-165.61421052631576
16,Data Science,3,403,Machine Learning,0.5041525555727066,sql,-165.61421052631576
17,Data Science,1,1761,Machine Learning,0.6156758237025524,excel,-786.3164150943395
17,Data Science,2,1194,Machine Learning,0.6001069494258248,,-786.3164150943395
17,Data Science,3,91,Machine Learning,0.5489391719221426,"aws, excel",-786.3164150943395
18,Data Science,1,1761,Machine Learning,0.5214914926553467,"excel, tensorflow, keras",-180.16190476190474
18,Data Science,2,1194,Machine Learning,0.48354066240203913,"tensorflow, keras",-180.16190476190474
18,Data Science,3,1020,Machine Learning,0.455734670351826,"excel, java, tensorflow, keras",-180.16190476190474
19,Data Science,1,2267,Machine Learning,0.4974724156137921,"java, excel",-422.96650684931495
19,Data Science,2,521,Machine Learning,0.48592881042400743,"sql, java, javascript",-422.96650684931495
19,Data Science,3,1891,Machine Learning,0.4831967623630151,"sql, java, tensorflow, javascript",-422.96650684931495
20,Data Science,1,349,Java Developer,0.40651407428644604,excel,-482.4755737704917
20,Data Science,2,2029,Machine Learning,0.3580588776793449,"aws, excel",-482.4755737704917
20,Data Science,3,923,Machine Learning,0.357446514133554,excel,-482.4755737704917
21,Data Science,1,528,Machine Learning,0.253046640994125,"sql, java, tensorflow, javascript",-92.88923728813558
21,Data Science,2,13,Machine Learning,0.24791011619146705,java,-92.88923728813558
21,Data Science,3,441,Machine Learning,0.24347074275859795,java,-92.88923728813558
22,Data Science,1,2063,Machine Learning,0.2181905185434119,,-169.03499999999997
22,Data Science,2,984,Django Developer,0.20157291888804557,javascript,-169.03499999999997
22,Data Science,3,902,Django Developer,0.20143790160801245,javascript,-169.03499999999997
